Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
258.740000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.760000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.770000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.790000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.800000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.820000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.830000,0.080000,78.330000,78.270000,78.110000,0.000000,-16.000000,-694.000000
258.850000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.860000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.880000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.890000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.910000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.920000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.940000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.950000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.970000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
258.980000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.000000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.010000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.030000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.040000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.060000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.070000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.090000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.100000,0.080000,78.330000,78.260000,78.110000,0.000000,-16.000000,-694.000000
259.120000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.130000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.150000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.160000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.180000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.190000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.210000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.220000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.240000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.250000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.270000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.280000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.300000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.310000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.330000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.340000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.360000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
259.370000,0.080000,78.330000,78.250000,78.110000,0.000000,-16.000000,-694.000000
