Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
331.740000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
331.760000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.770000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.790000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.800000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.820000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.830000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.850000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.860000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.880000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.890000,0.080000,77.980000,78.250000,77.710000,0.000000,-17.000000,-693.000000
331.910000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
331.920000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
331.940000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
331.950000,0.080000,77.980000,78.240000,77.710000,0.000000,-17.000000,-693.000000
331.970000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
331.980000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.000000,0.080000,77.980000,78.230000,77.710000,0.000000,-17.000000,-693.000000
332.010000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.030000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.040000,0.080000,77.980000,78.220000,77.710000,0.000000,-17.000000,-693.000000
332.060000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.070000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.090000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.100000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
332.120000,0.080000,77.980000,78.210000,77.710000,0.000000,-17.000000,-693.000000
